# ----------------------------------------
# All Web Site Data
# Pages
# 20170801-20171022
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,218,132,00:01:47,92,55.43%,45.87%,$0.00
/13/,35,22,00:01:36,21,61.90%,45.71%,$0.00
/49/,25,21,00:01:11,21,76.19%,80.00%,$0.00
/3/,15,9,00:00:37,7,57.14%,33.33%,$0.00
/19/,13,13,00:00:00,13,100.00%,100.00%,$0.00
/2/,11,5,00:00:40,4,50.00%,45.45%,$0.00
/23/,11,10,00:00:13,9,66.67%,63.64%,$0.00
/30/,11,9,00:03:42,8,62.50%,72.73%,$0.00
/9/,10,10,00:00:42,7,71.43%,70.00%,$0.00
/31/,9,6,00:07:22,4,75.00%,55.56%,$0.00
/37/,6,5,00:06:49,4,25.00%,33.33%,$0.00
/43/,6,5,00:00:18,2,100.00%,66.67%,$0.00
/tag/,6,6,00:00:04,1,0.00%,66.67%,$0.00
/11/,5,5,00:00:24,4,50.00%,40.00%,$0.00
/12/,5,5,00:00:34,3,100.00%,80.00%,$0.00
/14/,5,5,00:00:00,2,100.00%,100.00%,$0.00
/26/,5,3,00:00:28,2,50.00%,60.00%,$0.00
/34/,5,4,00:00:18,3,33.33%,40.00%,$0.00
/8/,5,5,00:01:37,4,75.00%,60.00%,$0.00
/10/,4,4,00:00:10,3,66.67%,75.00%,$0.00
/33/,4,3,00:10:38,2,100.00%,50.00%,$0.00
/58/,4,3,00:01:09,2,50.00%,25.00%,$0.00
/7/,4,3,00:08:35,2,0.00%,25.00%,$0.00
/1/,3,3,00:01:36,3,33.33%,33.33%,$0.00
/16/,3,3,00:03:47,3,66.67%,66.67%,$0.00
/21/,3,3,00:00:00,3,100.00%,100.00%,$0.00
/27/,3,3,00:00:00,2,100.00%,100.00%,$0.00
/35/,3,3,00:00:00,2,100.00%,100.00%,$0.00
/38/,3,3,00:00:00,2,100.00%,100.00%,$0.00
/4/,3,3,00:05:41,2,50.00%,66.67%,$0.00
/44/,3,3,00:00:00,2,100.00%,100.00%,$0.00
/48/,3,3,00:00:00,2,100.00%,100.00%,$0.00
/15/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/18/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/22/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/29/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/36/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/40/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/41/,2,2,00:00:18,2,50.00%,50.00%,$0.00
/42/,2,2,00:01:03,1,100.00%,50.00%,$0.00
/45/,2,2,00:01:09,1,100.00%,50.00%,$0.00
/46/,2,2,00:12:26,1,0.00%,0.00%,$0.00
/47/,2,2,00:00:05,0,0.00%,50.00%,$0.00
/5/,2,2,00:00:34,2,50.00%,50.00%,$0.00
/50/,2,1,00:00:32,1,0.00%,50.00%,$0.00
/51/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/52/,2,1,00:00:25,1,0.00%,0.00%,$0.00
/59/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/60/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/62/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/17/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/20/,1,1,00:00:03,1,0.00%,0.00%,$0.00
/24/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/25/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/28/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/39/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/55/,1,1,00:02:14,1,0.00%,0.00%,$0.00
/6/,1,1,00:00:00,1,100.00%,100.00%,$0.00
,493,362,00:02:00,277,66.43%,56.19%,$0.00

Day Index,Pageviews
8/1/17,0
8/2/17,0
8/3/17,0
8/4/17,0
8/5/17,0
8/6/17,0
8/7/17,0
8/8/17,0
8/9/17,0
8/10/17,0
8/11/17,0
8/12/17,0
8/13/17,0
8/14/17,0
8/15/17,0
8/16/17,0
8/17/17,0
8/18/17,2
8/19/17,0
8/20/17,0
8/21/17,0
8/22/17,1
8/23/17,11
8/24/17,37
8/25/17,5
8/26/17,3
8/27/17,3
8/28/17,7
8/29/17,9
8/30/17,12
8/31/17,5
9/1/17,16
9/2/17,6
9/3/17,36
9/4/17,15
9/5/17,3
9/6/17,14
9/7/17,4
9/8/17,4
9/9/17,8
9/10/17,6
9/11/17,3
9/12/17,7
9/13/17,25
9/14/17,2
9/15/17,2
9/16/17,1
9/17/17,9
9/18/17,5
9/19/17,3
9/20/17,11
9/21/17,20
9/22/17,3
9/23/17,3
9/24/17,14
9/25/17,5
9/26/17,1
9/27/17,8
9/28/17,4
9/29/17,2
9/30/17,2
10/1/17,4
10/2/17,3
10/3/17,15
10/4/17,23
10/5/17,15
10/6/17,5
10/7/17,8
10/8/17,7
10/9/17,25
10/10/17,12
10/11/17,1
10/12/17,7
10/13/17,3
10/14/17,0
10/15/17,2
10/16/17,2
10/17/17,1
10/18/17,5
10/19/17,4
10/20/17,4
10/21/17,8
10/22/17,2
,493
