Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,91,62,00:02:49,50,62.00%,51.65%,$0.00
/49/,26,22,00:01:11,22,77.27%,80.77%,$0.00
/59/,11,11,00:00:00,11,100.00%,100.00%,$0.00
/43/,6,5,00:00:18,2,100.00%,66.67%,$0.00
/58/,4,3,00:01:09,2,50.00%,25.00%,$0.00
/69/,4,3,00:01:41,2,100.00%,75.00%,$0.00
/36/,3,2,00:27:06,1,100.00%,66.67%,$0.00
/44/,3,3,00:00:00,2,100.00%,100.00%,$0.00
/47/,3,3,00:00:05,0,0.00%,33.33%,$0.00
/48/,3,3,00:00:00,2,100.00%,100.00%,$0.00
/12/,2,2,00:00:34,1,100.00%,50.00%,$0.00
/31/,2,2,00:00:39,1,100.00%,50.00%,$0.00
/34/,2,1,00:02:10,1,0.00%,50.00%,$0.00
/45/,2,2,00:01:09,1,100.00%,50.00%,$0.00
/46/,2,2,00:12:26,1,0.00%,0.00%,$0.00
/5/,2,1,00:01:57,1,0.00%,50.00%,$0.00
/50/,2,1,00:00:32,1,0.00%,50.00%,$0.00
/51/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/52/,2,1,00:00:25,1,0.00%,0.00%,$0.00
/60/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/62/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/66/,2,2,00:00:10,2,0.00%,0.00%,$0.00
/70/,2,2,00:00:38,2,50.00%,50.00%,$0.00
/tag/,2,2,00:00:00,0,0.00%,100.00%,$0.00
/19/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/26/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/28/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/37/,1,1,00:00:13,0,0.00%,0.00%,$0.00
/39/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/4/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/41/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/42/,1,1,00:01:03,0,0.00%,0.00%,$0.00
/55/,1,1,00:02:14,1,0.00%,0.00%,$0.00
/64/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/67/,1,1,00:10:29,1,0.00%,0.00%,$0.00
/71/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/72/,1,1,00:00:00,1,100.00%,100.00%,$0.00
,195,154,00:02:48,120,70.83%,61.54%,$0.00
